"人気度","カテゴリー","商品名","付加情報1","付加情報2","JAN","価格","URL","iscd(商品cd)"
"17","Ｊ‐ポップ","ＭＡＩＤ　ＩＮ　ＪＡＰＡＮ","","","=""4580448950045""","2981","https://www.bookoffonline.co.jp/old/0017094329","=""0017094329"""
"16","Ｊ‐ポップ","ｄｅｍｏｎｓｔｒａｔｉｏｎ","","","=""4948722097525""","1580","https://www.bookoffonline.co.jp/old/0001200216","=""0001200216"""
"16","Ｊ‐ポップ","ロザリーナ","","","=""4526845990185""","1180","https://www.bookoffonline.co.jp/old/0018751484","=""0018751484"""
"16","Ｊ‐ポップ","何の変哲もないＬｏｖｅ　Ｓｏｎｇｓ","","","","2981","https://www.bookoffonline.co.jp/old/0016772466","=""0016772466"""
"16","Ｊ‐ポップ","幸福軌道（初回生産限定盤）（ＤＶＤ付）","","","=""4988010023225""","7980","https://www.bookoffonline.co.jp/old/0016248741","=""0016248741"""
"15","Ｊ‐ポップ","微少女宇宙","","","=""4580113730019""","2380","https://www.bookoffonline.co.jp/old/0001315311","=""0001315311"""
"15","Ｊ‐ポップ","１３　ｓｈｉｔ","","","=""4543034018642""","1380","https://www.bookoffonline.co.jp/old/0016057410","=""0016057410"""
"15","Ｊ‐ポップ","近道したい","","","=""4988002316069""","2981","https://www.bookoffonline.co.jp/old/0001057459","=""0001057459"""
"15","Ｊ‐ポップ","Ｃｏｍｐｌｅｔｅ２０１０","","","=""4524505295311""","1380","https://www.bookoffonline.co.jp/old/0016278964","=""0016278964"""
"14","Ｊ‐ポップ","アイム・ファイン","","","=""4988022105599""","2981","https://www.bookoffonline.co.jp/old/0000894322","=""0000894322"""
"14","Ｊ‐ポップ","ｍｅｒｒｙ　ｇｏ　ｒｏｕｎｄ　ｉｓ　ｄｅａｄ","","","=""4948722150787""","5980","https://www.bookoffonline.co.jp/old/0011112198","=""0011112198"""
"14","Ｊ‐ポップ","あなたと歩いていくために","","","=""4988021205191""","2380","https://www.bookoffonline.co.jp/old/0001095901","=""0001095901"""
"14","Ｊ‐ポップ","三位一体（初回限定盤Ａ）","","","=""4988031126851""","5480","https://www.bookoffonline.co.jp/old/0017425939","=""0017425939"""
"14","Ｊ‐ポップ","レナ（紙ジャケット仕様）","","","=""4988044612693""","1380","https://www.bookoffonline.co.jp/old/0016021763","=""0016021763"""
"14","Ｊ‐ポップ","ＬＩＶＥ　ワン！","","","=""4943674705320""","2380","https://www.bookoffonline.co.jp/old/0000871531","=""0000871531"""
"14","Ｊ‐ポップ","秀樹カンゲキ！！ＭＩＸ！！西城秀樹ノンストップヒッツ！！","","","=""4948722488668""","1980","https://www.bookoffonline.co.jp/old/0017003827","=""0017003827"""
"14","Ｊ‐ポップ","チェッカーズ・オリジナルアルバム・スペシャルＣＤＢＯＸ（完全限定生産盤）","","","=""4988013062917""","9980","https://www.bookoffonline.co.jp/old/0018973565","=""0018973565"""
"14","Ｊ‐ポップ","【８ｃｍ】ふわふわ","","","=""4988010603663""","1980","https://www.bookoffonline.co.jp/old/0015462696","=""0015462696"""
"13","Ｊ‐ポップ","Ｓｈｉ－Ｇｅ","","","=""4988014000635""","4980","https://www.bookoffonline.co.jp/old/0000869024","=""0000869024"""
"13","Ｊ‐ポップ","おしえてアイドル　８０’ｓアイドル・コレクション　キング編","","","=""4995879013700""","2380","https://www.bookoffonline.co.jp/old/0000935165","=""0000935165"""
"13","Ｊ‐ポップ","【８ｃｍ】ＥＮＣＯＲＥ","","","=""4988009014166""","650","https://www.bookoffonline.co.jp/old/0015435688","=""0015435688"""
"13","Ｊ‐ポップ","波に消えたラヴ・ストーリー","","","=""4988013142237""","11500","https://www.bookoffonline.co.jp/old/0000858783","=""0000858783"""
"13","Ｊ‐ポップ","ａｎｓａ－","","","=""4988017611869""","6980","https://www.bookoffonline.co.jp/old/0001267435","=""0001267435"""
"13","Ｊ‐ポップ","Ｄｅｂｕｔ　Ｓｐｅｃｉａｌ","","","=""4988009550367""","2580","https://www.bookoffonline.co.jp/old/0000822922","=""0000822922"""
"13","Ｊ‐ポップ","Ｊｕｎｋｆｏｏｄ　Ｊｕｎｃｔｉｏｎ（初回生産限定盤Ａ）（ＤＶＤ付）","","","=""4547366396867""","6980","https://www.bookoffonline.co.jp/old/0019203447","=""0019203447"""
"13","Ｊ‐ポップ","ＣＲＹ（ＣＤ＋ＭＵＳＩＣ　ＢＯＯＫ）","","","=""4543034046348""","7980","https://www.bookoffonline.co.jp/old/0018867959","=""0018867959"""
"13","Ｊ‐ポップ","Ｈｉｄｅｋｉ　Ｄａｎｃｅ３","","","=""4988017030585""","3280","https://www.bookoffonline.co.jp/old/0000838509","=""0000838509"""
"13","Ｊ‐ポップ","みずいろの雨","","","=""4997225541912""","1380","https://www.bookoffonline.co.jp/old/0011150651","=""0011150651"""
"13","Ｊ‐ポップ","ＢＥＡＲＤＳＬＥＹ　ＳＩＮＧＬＥＳ","","","=""4571209816342""","1380","https://www.bookoffonline.co.jp/old/0016766616","=""0016766616"""
"13","Ｊ‐ポップ","マニア・マニエラ","","","","1580","https://www.bookoffonline.co.jp/old/0000896015","=""0000896015"""
"13","Ｊ‐ポップ","トランジスタ・ラジオ","","","=""4988031009154""","300","https://www.bookoffonline.co.jp/old/0015455601","=""0015455601"""
"13","Ｊ‐ポップ","ＤＥＡＤ　ＬＩＮＥ","","","=""4538539003842""","2380","https://www.bookoffonline.co.jp/old/0016222837","=""0016222837"""
"13","Ｊ‐ポップ","ＡＹＵＫＡＷＡ　ＳＩＺＥ（ＤＶＤ付）（３ＳＨＭ－ＣＤ＋ＤＶＤ）","","","=""4988002676842""","4980","https://www.bookoffonline.co.jp/old/0017175488","=""0017175488"""
"13","Ｊ‐ポップ","走り去るロマン（紙ジャケット仕様）","","","=""4988044612686""","1180","https://www.bookoffonline.co.jp/old/0016021761","=""0016021761"""
"12","Ｊ‐ポップ","Ｎｏａｈ","","","=""4524094710721""","2380","https://www.bookoffonline.co.jp/old/0001268162","=""0001268162"""
"12","Ｊ‐ポップ","ＧＡＲＮＥＴ　ＣＲＯＷ　ＲＥＭＩＸＥＳ　Ｃｏｏｌ　Ｃｉｔｙ　Ｐｒｏｄｕｃｔｉｏｎ　ｖｏｌ．８","","","=""4948722186403""","4280","https://www.bookoffonline.co.jp/old/0011043673","=""0011043673"""
"12","Ｊ‐ポップ","ディープエモーション","","","","1780","https://www.bookoffonline.co.jp/old/0001486678","=""0001486678"""
"12","Ｊ‐ポップ","Ｓｍｉｌｅ　ａｇａｉｎ","","","=""4988003267452""","4980","https://www.bookoffonline.co.jp/old/0001150428","=""0001150428"""
"12","Ｊ‐ポップ","燃えつきた青春（紙ジャケット仕様）","","","=""4988017657621""","4580","https://www.bookoffonline.co.jp/old/0015759419","=""0015759419"""
"12","Ｊ‐ポップ","ベストコレクション～Ｆｏｒ　Ｙｏｕ","","","=""4988002106417""","3480","https://www.bookoffonline.co.jp/old/0000895380","=""0000895380"""
"12","Ｊ‐ポップ","ＷＯＮＤＥＲＬＡＮＤ","","","=""4988014702294""","2981","https://www.bookoffonline.co.jp/old/0000848053","=""0000848053"""
"12","Ｊ‐ポップ","Ｌａｐｉｄａｒｙ","","","=""4948722083801""","2380","https://www.bookoffonline.co.jp/old/0011024095","=""0011024095"""
"12","Ｊ‐ポップ","健’ｚ　ｗｉｔｈ　ｆｒｉｅｎｄｓ","","","=""4571178780033""","980","https://www.bookoffonline.co.jp/old/0011045008","=""0011045008"""
"12","Ｊ‐ポップ","マックス・メガ・ミックス","","","=""4988005150189""","2380","https://www.bookoffonline.co.jp/old/0000841719","=""0000841719"""
"12","Ｊ‐ポップ","【８ｃｍ】ＤＡＭＥ！だめ！ダメ！","","","=""4988013971035""","500","https://www.bookoffonline.co.jp/old/0015454545","=""0015454545"""
"12","Ｊ‐ポップ","ライク・ユー！","","","=""4988022109900""","1580","https://www.bookoffonline.co.jp/old/0000894242","=""0000894242"""
"12","Ｊ‐ポップ","Ｓｎａｇ　Ｌｉｖｅ","","","=""4524505280430""","1780","https://www.bookoffonline.co.jp/old/0015788898","=""0015788898"""
"12","Ｊ‐ポップ","でもね・・・","","","=""4988007253765""","500","https://www.bookoffonline.co.jp/old/0016938201","=""0016938201"""
"12","Ｊ‐ポップ","ＭＹ　ＰＯＩＮＴ　ＯＦ　ＶＩＥＷ（紙ジャケット仕様）","","","=""4988003419202""","1980","https://www.bookoffonline.co.jp/old/0016771169","=""0016771169"""
"11","Ｊ‐ポップ","アクア・パースペクティヴ","","","","500","https://www.bookoffonline.co.jp/old/0000830864","=""0000830864"""
"11","Ｊ‐ポップ","Ｂ面コレクション","","","=""4988012213334""","5980","https://www.bookoffonline.co.jp/old/0000858768","=""0000858768"""
"11","Ｊ‐ポップ","５４－７１（インスト）","","","","650","https://www.bookoffonline.co.jp/old/0000880369","=""0000880369"""
"11","Ｊ‐ポップ","それから＜オリジナルサウンドトラック＞","","","=""4988002238651""","2981","https://www.bookoffonline.co.jp/old/0000891985","=""0000891985"""
"11","Ｊ‐ポップ","Ｈｏｍｅ　Ｇｉｒｌ　Ｊｏｕｒｎｅｙ（ＳＡＣＤ）","<SACD>","","=""4988010030223""","2380","https://www.bookoffonline.co.jp/old/0000934379","=""0000934379"""
"11","Ｊ‐ポップ","ＦＬＯＯＤ　ＯＦ　ＴＥＡＲＳ","","","","9980","https://www.bookoffonline.co.jp/old/0015198818","=""0015198818"""
"11","Ｊ‐ポップ","ストレンジャーズ・イン・ザ・ナイト","","","=""4988017003176""","2981","https://www.bookoffonline.co.jp/old/0015440773","=""0015440773"""
